,FACTURA,FECHA_VENCIMIENTO,MONTO ADEUDADO
84,F40377,2023-03-31,4512.28
85,F40359,2023-03-14,4292.0
86,F40074,2023-02-17,4173.62
87,F40168,2023-03-19,4158.6
88,F40331,2023-03-10,4080.3
89,F40255,2023-03-30,4022.13
90,F40341,2023-04-12,3971.93
91,F33924,2021-01-18,3830.0
92,F37841,2022-05-06,3480.0
93,F40101,2023-03-10,3451.0
94,F39281,2022-12-10,3399.38
95,F40344,2023-03-13,3375.14
96,F40358,2023-04-13,3368.64
97,F39871,2023-02-20,3248.58
98,F40072,2023-03-04,3183.04
99,F40226,2023-03-26,3166.38
100,F40357,2023-04-13,2756.16
101,F40362,2023-03-14,2694.95
102,F40372,2023-03-15,2526.48
103,F40338,2023-03-10,2334.5
104,F40375,2023-03-31,2256.14
105,F35926,2021-08-23,2094.96
106,F38995,2022-11-05,2088.0
107,F35927,2021-08-23,2000.0
108,F40337,2023-03-10,1949.38
109,F40216,2023-03-24,1925.6
110,F40343,2023-04-12,1827.0
111,F40342,2023-03-13,1740.79
112,F40092,2023-03-09,1740.0
113,F40355,2023-03-14,1682.0
114,F40247,2023-02-27,1682.0
115,F35700,2021-08-28,1647.2
116,F40332,2023-03-10,1608.15
117,NV00749,2023-01-16,1479.0
118,F40333,2023-03-10,1401.57
119,F40378,2023-03-31,1390.72
120,F40103,2023-02-08,1264.4
121,F39257,2022-11-05,1229.95
122,F40144,2023-02-14,1204.08
123,F40368,2023-03-15,1179.95
124,F40380,2023-03-16,1169.28
125,F40060,2023-01-31,1095.85
126,F40062,2023-01-31,1068.28
127,F40339,2023-03-13,1015.0
128,F40077,2023-02-02,1000.0
129,F36340,2021-10-05,1000.0
130,F37204,2022-01-27,1000.0
131,NV00356,2021-08-16,815.0
132,F40349,2023-04-13,799.24
133,F39912,2023-02-11,765.6
134,F39426,2022-10-27,763.04
135,F40360,2023-03-14,754.0
136,F40369,2023-03-15,742.4
137,F40336,2023-03-10,730.01
138,F40373,2023-03-15,704.41
139,F40365,2023-03-14,702.96
140,F40374,2023-03-16,658.6
141,NV00351,2021-08-06,591.6
142,F40348,2023-03-13,568.4
143,F39931,2023-02-01,555.19
144,F36620,2021-11-09,500.0
145,F36062,2021-09-06,500.0
146,F40311,2023-03-07,487.2
147,F40314,2023-03-08,487.2
148,F38125,2022-05-10,420.0
149,F40097,2023-02-07,406.0
150,F40161,2023-03-18,366.04
151,F40334,2023-03-10,313.5
152,NV00368,2021-08-26,300.0
153,F40310,2023-03-07,262.74
154,F35996,2021-08-31,200.0
155,F40318,2023-04-07,191.04
156,F40370,2023-03-15,139.2
157,NV00780,2023-03-13,130.0
158,F38473,2022-06-28,87.35
159,F40055,2023-01-31,56.0
160,NV00777,2023-03-07,45.0
161,NV00778,2023-03-09,40.0
162,NV00779,2023-03-09,24.01
163,F38248,2022-05-27,19.94
